ages,anxiety_scores,any_breakup,argument_with_family,argument_with_family_time,betw_11_20_hr_work,betw_2_5_hr_work,betw_5_11_hr_work,borrow_money,breakup_date,change_in_personal_health,change_in_personal_health_time,change_major,change_major_months,change_major_year,college_year,conflict_with_faculty,conflict_with_faculty_time,conflict_with_friend,conflict_with_friend_time,conflict_with_roommate,conflict_with_roommate_time,conflict_with_student,conflict_with_student_time,current_job_start_date,death_close_family,death_close_family_time,death_close_friend,death_close_friend_time,divorce,divorce_time,do_not_work,dropped_class,dropped_class_time,eat_healthy_diet,eat_less,emergency_living_place,enjoy_being_at_school,family_health_change,family_health_time,family_seeing_freq,financial_support_from_loans,financial_support_from_parents,financial_support_from_self,first_gen,gender,gpa_current,gpa_last_sem_end,gpa_last_sem_start,grt_11_hr_work,grt_20_hr_work,laid_off,laid_off_time,less_2hr_work,living_dorm_shared,living_dorm_single,living_greek_shared,living_greek_single,living_off_campus_shared,living_off_campus_single,living_w_parents,lose_housing,majors,member_of_academic_clubs,member_of_academic_clubs_time,member_of_oncampus_clubs,member_of_oncampus_clubs_time,member_of_performing_arts,member_of_performing_arts_time,member_of_religious_club,member_of_religious_club_time,member_of_sports,member_of_sports_time,money_for_needs,months,nationality,on_probation,on_probation_time,overwhelmed_at_school,participate_in_social_good,participate_in_social_good_time,permanent_home,phq_final_get_along_with_people,phq_scores,race,rec_drugs,received_c_grade,received_c_grade_time,record_ids,seeing_family_recent_date,self_esteem_scores,si_grt_6_months_ago,si_less_month_ago,si_not_application,si_within_3_months,si_within_6_months,sleep_weekendnights_hrs,sleep_weeknights_hrs,smoke,someone_to_talk_to,spiritual_wellbeing,started_dating_time,suicide_ideation,talk_to_family_freq,time_stamps,trying_to_be_healthy,weekly_academic_work_hrs,weekly_research_work
20.0,8.0,0.0,0.0,,1,0,0,1.0,,0.0,,0.0,,,2,0.0,,1.0,2019-07-17,0.0,,0.0,,2018-08-29,0.0,,0.0,,0.0,,0,0.0,,2.0,0.0,0.0,3.0,0.0,,5.0,1,1,1,0.0,1.0,3.5,3.6,3.7,0,0,0.0,,0,1,0,0,0,0,0,0,0.0,"computer science b.s, business, math minor",0.0,,0.0,,1.0,2018-09-08,0.0,,0.0,,1.0,4.0,Mexican,0.0,,0.0,1.0,2018-09-01,1.0,0.0,2.0,3,0.0,0.0,,1,2019-08-23,24,0,0,0,0,0,2.0,4.0,0.0,1.0,2.0,2020-09-09,0.0,2.0,2019-09-26 11:38:07,1.0,2.0,0.0
18.0,14.0,1.0,1.0,2019-05-29,0,0,0,1.0,2019-08-22,0.0,,0.0,,,2,0.0,,1.0,2019-08-20,1.0,2018-09-01,0.0,,,0.0,,0.0,,0.0,,1,0.0,,2.0,1.0,0.0,3.0,1.0,2019-06-01,4.0,1,1,0,0.0,1.0,3.51,3.51,40,0,0,0.0,,0,0,0,0,0,1,0,0,0.0,"computer science, economics",0.0,,1.0,2019-09-01,0.0,,0.0,,1.0,2019-09-01,1.0,1.0,Ukrainian,0.0,,1.0,0.0,,4.0,0.0,4.0,1,1.0,0.0,,2,2019-08-25,20,0,0,0,0,0,2.0,4.0,0.0,1.0,3.0,2019-09-26,0.0,1.0,2019-09-26 11:54:57,2.0,3.0,0.0
18.0,16.0,0.0,1.0,2019-03-15,0,0,0,1.0,,0.0,,0.0,,,1,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,1.0,2019-03-15,1,0.0,,1.0,1.0,1.0,4.0,1.0,2019-02-14,4.0,1,0,0,0.0,2.0,3.5,3.5,3.5,0,0,0.0,,0,1,0,0,0,0,0,0,0.0,biology,0.0,,0.0,,0.0,,0.0,,1.0,2019-09-01,0.0,6.0,Haitian-American,0.0,,1.0,0.0,,3.0,0.0,5.0,2,0.0,0.0,,3,2019-08-21,18,0,0,0,0,1,4.0,4.0,0.0,1.0,2.0,,1.0,2.0,2019-09-27 13:18:37,1.0,1.0,0.0
19.0,9.0,0.0,1.0,2019-05-02,0,0,0,1.0,,0.0,,0.0,,,2,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,1.0,2018-01-24,1,0.0,,1.0,0.0,0.0,4.0,1.0,2017-09-08,4.0,0,1,0,0.0,2.0,3.85,3.84,3.87,0,0,0.0,,0,0,1,0,0,0,0,0,0.0,bcs and psy,0.0,,0.0,,1.0,2018-08-31,0.0,,0.0,,0.0,2.0,Hong Kong SAR,0.0,,3.0,0.0,,4.0,2.0,11.0,3,1.0,0.0,,4,2019-08-27,19,0,0,0,0,0,1.0,1.0,0.0,1.0,2.0,,0.0,2.0,2019-09-27 13:46:08,2.0,1.0,1.0
19.0,12.0,0.0,1.0,2019-08-13,0,0,0,0.0,,0.0,,0.0,,,2,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,1,1.0,2018-09-25,2.0,0.0,1.0,4.0,0.0,,4.0,0,1,1,0.0,2.0,3.10,2.93,3.00,0,0,0.0,,0,1,0,0,0,0,0,0,0.0,psychology,0.0,,0.0,,1.0,2019-09-10,1.0,2018-09-07,0.0,,0.0,6.0,American,0.0,,2.0,0.0,,2.0,1.0,5.0,1,0.0,1.0,2019-05-20,5,,16,1,0,0,0,0,4.0,1.0,0.0,1.0,3.0,2019-09-26,1.0,1.0,2019-09-27 13:53:19,2.0,3.0,0.0
18.0,14.0,0.0,1.0,2019-03-13,0,1,0,1.0,,0.0,,0.0,,,2,0.0,,0.0,,0.0,,0.0,,2019-09-16,0.0,,0.0,,0.0,,0,0.0,,1.0,1.0,1.0,3.0,1.0,2018-12-20,4.0,0,1,0,0.0,2.0,3.61,3.61,3.75,0,0,0.0,,0,1,0,0,0,0,0,0,0.0,computer science and environmental studies,1.0,2018-09-06,0.0,,1.0,2018-08-22,0.0,,0.0,,1.0,9.0,United States,0.0,,1.0,1.0,2018-09-12,3.0,1.0,9.0,1,1.0,1.0,2019-05-10,6,2019-08-23,13,1,0,0,0,0,4.0,1.0,0.0,1.0,3.0,,1.0,2.0,2019-09-27 14:24:49,2.0,4.0,0.0
20.0,0.0,,,,0,0,0,,,,,,,,7,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,0,,1.0,,,,0,0,,,0,0,0,0,0,0,0,0,,nan,,,,,,,,,,,,9.0,United States,,,,,,3.0,,0.0,1,,,,7,,0,0,0,0,0,0,,,,,,,,,,,,
20.0,11.0,0.0,0.0,,0,0,1,1.0,,0.0,,0.0,,,3,0.0,,0.0,,0.0,,0.0,,2019-09-01,0.0,,0.0,,0.0,,0,0.0,,2.0,0.0,1.0,4.0,0.0,,4.0,0,1,0,0.0,1.0,3.84,3.84,3.85,0,0,0.0,,0,0,1,0,0,0,0,0,0.0,chemical engineering,1.0,2017-09-18,0.0,,1.0,2017-09-03,0.0,,1.0,2017-09-03,1.0,9.0,United States,0.0,,3.0,0.0,,3.0,0.0,2.0,1,1.0,0.0,,8,2019-08-15,16,0,0,0,0,0,2.0,3.0,0.0,1.0,2.0,,0.0,1.0,2019-09-27 15:02:14,2.0,4.0,1.0
21.0,15.0,0.0,0.0,,0,0,1,1.0,,0.0,,1.0,,1.0,3,0.0,,0.0,,0.0,,0.0,,,0.0,,0.0,,0.0,,0,1.0,2019-09-25,2.0,1.0,1.0,3.0,0.0,,5.0,1,1,1,1.0,1.0,3.8,3.7,3.4,1,0,0.0,,0,0,1,0,0,0,0,0,0.0,economics,1.0,2018-01-10,0.0,,0.0,,0.0,,0.0,,0.0,6.0,,0.0,,3.0,0.0,,4.0,0.0,6.0,3,0.0,1.0,2019-05-15,9,,26,0,0,0,0,0,4.0,4.0,0.0,1.0,2.0,,0.0,2.0,2019-09-27 16:27:30,2.0,1.0,0.0
21.0,13.0,1.0,0.0,,0,0,0,1.0,2019-01-03,0.0,,0.0,,,4,0.0,,1.0,2019-01-03,0.0,,0.0,,2019-09-01,0.0,,0.0,,0.0,,0,0.0,,3.0,1.0,1.0,0.0,0.0,,5.0,1,0,1,1.0,2.0,3.0,3.0,3.0,0,1,0.0,,0,0,1,0,0,0,0,0,0.0,epidemiology,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,United States,0.0,,1.0,0.0,,3.0,0.0,5.0,1,1.0,1.0,,10,2019-08-01,26,0,0,0,0,0,4.0,4.0,0.0,1.0,3.0,,0.0,1.0,2019-09-30 11:57:54,3.0,3.0,0.0
