,Unnamed: 0,ratings,action,categories,dislikes,likes,durations,view_cnts,years,months,days,hours,minutes,weekdays,link,titles,source,query,datetime
5435,2266,,Searched,[],,,,,2020,1,1,12,6,2,,,search,nlsy version 1,2020-01-01 12:06:00
5434,2265,,Visited,[],,,,,2020,1,1,12,7,2,,,search,https://en.m.wikipedia.org/wiki/National_Longitudinal_Surveys,2020-01-01 12:07:00
3168,3168,,Watched,,,,,,2020,1,1,18,15,2,https://www.youtube.com/watch?v=OcV7yzYeeT8,,youtube,,2020-01-01 18:15:00
3167,3167,,Watched,,,,,,2020,1,1,18,46,2,https://www.youtube.com/watch?v=Lv2p7eDlZTs,,youtube,,2020-01-01 18:46:00
3166,3166,,Watched,,,,,,2020,1,1,18,53,2,https://www.youtube.com/watch?v=xe5Wx9W4u4Q,,youtube,,2020-01-01 18:53:00
3165,3165,,Watched,,,,,,2020,1,1,23,2,2,https://www.youtube.com/watch?v=w3XS900kg1U,,youtube,,2020-01-01 23:02:00
3164,3164,,Watched,,,,,,2020,1,1,23,21,2,https://www.youtube.com/watch?v=nUJxu9sgazw,,youtube,,2020-01-01 23:21:00
3163,3163,,Watched,,,,,,2020,1,1,23,36,2,https://www.youtube.com/watch?v=vL0woLAeIC8,,youtube,,2020-01-01 23:36:00
3162,3162,,Watched,,,,,,2020,1,1,23,55,2,https://www.youtube.com/watch?v=2e6dDTjd0R8,,youtube,,2020-01-01 23:55:00
3161,3161,,Watched,,,,,,2020,1,2,0,11,3,https://www.youtube.com/watch?v=BBSdHAL38ZU,,youtube,,2020-01-02 00:11:00
3160,3160,,Watched,,,,,,2020,1,2,0,13,3,https://www.youtube.com/watch?v=gcwQyPo7i88,,youtube,,2020-01-02 00:13:00
5433,2264,,Searched,[],,,,,2020,1,2,0,18,3,,,search,175000*40*52,2020-01-02 00:18:00
3159,3159,,Watched,,,,,,2020,1,2,1,1,3,https://www.youtube.com/watch?v=3cnkGPjF6xA,,youtube,,2020-01-02 01:01:00
3158,3158,,Watched,,,,,,2020,1,2,1,12,3,https://www.youtube.com/watch?v=f9YX36nHKYo,,youtube,,2020-01-02 01:12:00
5432,2263,,Searched,[],,,,,2020,1,2,1,56,3,,,search,sirfetch'd,2020-01-02 01:56:00
3157,3157,,Watched,,,,,,2020,1,2,2,7,3,https://www.youtube.com/watch?v=sHDjLCmf0CE,,youtube,,2020-01-02 02:07:00
3156,3156,,Watched,,,,,,2020,1,2,2,29,3,https://www.youtube.com/watch?v=uLKnCDfDlog,,youtube,,2020-01-02 02:29:00
3155,3155,,Watched,,,,,,2020,1,2,2,43,3,https://www.youtube.com/watch?v=0BXo-mFNlVc,,youtube,,2020-01-02 02:43:00
3154,3154,,Watched,,,,,,2020,1,2,2,56,3,https://www.youtube.com/watch?v=RTDsqCmIVpY,,youtube,,2020-01-02 02:56:00
3153,3153,,Watched,,,,,,2020,1,2,14,47,3,https://www.youtube.com/watch?v=HRuGcJZb8b8,,youtube,,2020-01-02 14:47:00
5430,2261,,Visited,[],,,,,2020,1,2,15,54,3,,,search,Sword and Shield Legendary Pokemon - IGN.com,2020-01-02 15:54:00
5431,2262,,Searched,[],,,,,2020,1,2,15,54,3,,,search,pokemon shield both legendaries,2020-01-02 15:54:00
5426,2257,,Visited,[],,,,,2020,1,2,16,14,3,,,search,"Snorlax (Pokémon) - Bulbapedia, the community-driven Pokémon ...",2020-01-02 16:14:00
5427,2258,,Visited,[],,,,,2020,1,2,16,14,3,,,search,https://pokemon.gameinfo.io/en/pokemon/143-snorlax/normal,2020-01-02 16:14:00
5428,2259,,Searched,[],,,,,2020,1,2,16,14,3,,,search,snorlax normal,2020-01-02 16:14:00
5429,2260,,Searched,"[['/Arts & Entertainment', 0.550000011920929]]",,,,,2020,1,2,16,14,3,,,search,snorlax,2020-01-02 16:14:00
3152,3152,,Watched,,,,,,2020,1,2,17,45,3,https://www.youtube.com/watch?v=ioKpf4dgsMA,,youtube,,2020-01-02 17:45:00
3151,3151,,Watched,,,,,,2020,1,2,18,12,3,https://www.youtube.com/watch?v=c6RQcQAbokU,,youtube,,2020-01-02 18:12:00
3150,3150,,Watched,,,,,,2020,1,2,18,15,3,https://www.youtube.com/watch?v=cUkKyEAVp6I,,youtube,,2020-01-02 18:15:00
5425,2256,,Searched,[],,,,,2020,1,2,18,55,3,,,search,heic to jpg,2020-01-02 18:55:00
3149,3149,,Watched,,,,,,2020,1,2,19,0,3,https://www.youtube.com/watch?v=4OFl3OIxFMo,,youtube,,2020-01-02 19:00:00
3148,3148,4.9418473,Watched,['Gaming'],394.0,26707.0,1549.0,1536880.0,2020,1,2,19,12,3,https://www.youtube.com/watch?v=D-xWdDoG4bY,Waluigi WILL Come From Behind,youtube,,2020-01-02 19:12:00
3147,3147,4.9358277,Watched,['Gaming'],262.0,16069.0,2856.0,1048410.0,2020,1,2,19,38,3,https://www.youtube.com/watch?v=BJoHnJYjjlw,,youtube,,2020-01-02 19:38:00
3146,3146,,Watched,,,,,,2020,1,2,21,15,3,https://www.youtube.com/watch?v=_9gcEnmqxSg,,youtube,,2020-01-02 21:15:00
5424,2255,,Searched,[],,,,,2020,1,2,21,47,3,,,search,wolframalpha,2020-01-02 21:47:00
3145,3145,,Watched,,,,,,2020,1,2,21,49,3,https://www.youtube.com/watch?v=c3E5oNY5mSU,,youtube,,2020-01-02 21:49:00
5423,2254,,Searched,[],,,,,2020,1,2,22,14,3,,,search,ll,2020-01-02 22:14:00
3144,3144,,Watched,,,,,,2020,1,2,22,22,3,https://www.youtube.com/watch?v=mcV2uNQ8vZM,,youtube,,2020-01-02 22:22:00
3143,3143,,Watched,,,,,,2020,1,2,22,23,3,https://www.youtube.com/watch?v=EvV7OZyGfhk,,youtube,,2020-01-02 22:23:00
3142,3142,,Watched,,,,,,2020,1,2,22,24,3,https://www.youtube.com/watch?v=tNiZbwDwUl8,,youtube,,2020-01-02 22:24:00
3141,3141,,Watched,,,,,,2020,1,2,22,26,3,https://www.youtube.com/watch?v=u5KVfVetlsA,,youtube,,2020-01-02 22:26:00
3140,3140,,Watched,,,,,,2020,1,2,22,38,3,https://www.youtube.com/watch?v=pxwn6jdGCm0,,youtube,,2020-01-02 22:38:00
3139,3139,,Watched,,,,,,2020,1,2,22,39,3,https://www.youtube.com/watch?v=6e2D1wE9z28,,youtube,,2020-01-02 22:39:00
3138,3138,,Watched,,,,,,2020,1,2,23,10,3,https://www.youtube.com/watch?v=JBIIDIksssQ,,youtube,,2020-01-02 23:10:00
5422,2253,,Searched,[],,,,,2020,1,2,23,13,3,,,search,jojo oh no,2020-01-02 23:13:00
5421,2252,,Searched,[],,,,,2020,1,2,23,25,3,,,search,logistic regression,2020-01-02 23:25:00
5420,2251,,Searched,[],,,,,2020,1,2,23,28,3,,,search,random forest algorithm,2020-01-02 23:28:00
5419,2250,,Searched,[],,,,,2020,1,2,23,28,3,,,search,random forest randomness,2020-01-02 23:28:00
5418,2249,,Searched,[],,,,,2020,1,2,23,29,3,,,search,test driven development,2020-01-02 23:29:00
5417,2248,,Searched,[],,,,,2020,1,2,23,33,3,,,search,variance formula,2020-01-02 23:33:00
5415,2246,,Searched,[],,,,,2020,1,2,23,34,3,,,search,P(B|A)P(A),2020-01-02 23:34:00
5416,2247,,Searched,"[['/Science/Mathematics/Statistics', 0.8899999856948853]]",,,,,2020,1,2,23,34,3,,,search,bayes formula,2020-01-02 23:34:00
5414,2245,,Searched,[],,,,,2020,1,2,23,36,3,,,search,sql partition by,2020-01-02 23:36:00
5413,2244,,Visited,[],,,,,2020,1,2,23,36,3,,,search,SQL PARTITION BY Clause overview,2020-01-02 23:36:00
5412,2243,,Visited,[],,,,,2020,1,2,23,37,3,,,search,Difference between PARTITION BY and GROUP BY ...,2020-01-02 23:37:00
5411,2242,,Searched,[],,,,,2020,1,2,23,42,3,,,search,does ruby pass by value,2020-01-02 23:42:00
5410,2241,,Searched,[],,,,,2020,1,2,23,42,3,,,search,variance of random var,2020-01-02 23:42:00
5409,2240,,Searched,"[['/Reference/General Reference', 0.6899999976158142]]",,,,,2020,1,2,23,44,3,,,search,python sifted,2020-01-02 23:44:00
5408,2239,,Searched,[],,,,,2020,1,2,23,45,3,,,search,python sorted function,2020-01-02 23:45:00
5407,2238,,Visited,[],,,,,2020,1,2,23,45,3,,,search,Python sorted() Function - W3Schools,2020-01-02 23:45:00
5406,2237,,Searched,"[['/Science/Mathematics', 0.6399999856948853]]",,,,,2020,1,2,23,51,3,,,search,singular value decomposition,2020-01-02 23:51:00
5405,2236,,Searched,[],,,,,2020,1,2,23,51,3,,,search,singular value decomposition use,2020-01-02 23:51:00
5404,2235,,Visited,[],,,,,2020,1,2,23,52,3,,,search,https://en.m.wikipedia.org/wiki/Singular_value_decomposition,2020-01-02 23:52:00
3137,3137,,Watched,,,,,,2020,1,3,0,33,4,https://www.youtube.com/watch?v=mOBqmbEBbN8,,youtube,,2020-01-03 00:33:00
3136,3136,,Watched,,,,,,2020,1,3,1,10,4,https://www.youtube.com/watch?v=VSW9cx0321k,,youtube,,2020-01-03 01:10:00
3135,3135,,Watched,,,,,,2020,1,3,1,48,4,https://www.youtube.com/watch?v=ue7Ez1Uz7Sk,,youtube,,2020-01-03 01:48:00
3134,3134,,Watched,,,,,,2020,1,3,2,6,4,https://www.youtube.com/watch?v=hZSdHBHyjh0,,youtube,,2020-01-03 02:06:00
5403,2234,,Searched,[],,,,,2020,1,3,2,16,4,,,search,kansas style bbq,2020-01-03 02:16:00
3133,3133,,Watched,,,,,,2020,1,3,2,24,4,https://www.youtube.com/watch?v=7t_5X3X8o1o,,youtube,,2020-01-03 02:24:00
3132,3132,,Watched,,,,,,2020,1,3,14,3,4,https://www.youtube.com/watch?v=vtByieDmHw4,,youtube,,2020-01-03 14:03:00
3131,3131,,Watched,,,,,,2020,1,3,15,57,4,https://www.youtube.com/watch?v=aCJ5ICBlqkI,,youtube,,2020-01-03 15:57:00
3130,3130,,Watched,,,,,,2020,1,3,16,17,4,https://www.youtube.com/watch?v=QfGJVX94NCI,,youtube,,2020-01-03 16:17:00
3129,3129,,Watched,,,,,,2020,1,3,17,14,4,https://www.youtube.com/watch?v=CTl2SFPNJnw,,youtube,,2020-01-03 17:14:00
3128,3128,,Watched,,,,,,2020,1,3,17,17,4,https://www.youtube.com/watch?v=otdXlwvrKmo,,youtube,,2020-01-03 17:17:00
