,Unnamed: 0,ratings,action,categories,dislikes,likes,durations,view_cnts,years,months,days,hours,minutes,weekdays,link,titles,source,query,datetime
5933,5933,4.920803500000001,Watched,['Music'],134.0,6634.0,231.0,301401.0,2019,8,28,8,17,2,https://www.youtube.com/watch?v=12PK_4YjKw4,,youtube,,2019-08-28 08:17:00
5932,5932,4.9144583,Watched,['Music'],2208.0,101040.0,190.0,15225846.0,2019,8,28,8,20,2,https://www.youtube.com/watch?v=iMVc0vG4K_k,,youtube,,2019-08-28 08:20:00
5931,5931,4.9444447,Watched,['Music'],5.0,355.0,321.0,24488.0,2019,8,28,8,26,2,https://www.youtube.com/watch?v=dGequIRYzqo,,youtube,,2019-08-28 08:26:00
5929,5929,4.6261491999999995,Watched,['Music'],183.0,1775.0,224.0,131233.0,2019,8,28,8,31,2,https://www.youtube.com/watch?v=WO696VASuq8,,youtube,,2019-08-28 08:31:00
5930,5930,4.5014744,Watched,['Music'],26248.0,184357.0,171.0,58259876.0,2019,8,28,8,31,2,https://www.youtube.com/watch?v=WLMmX17D2uw,,youtube,,2019-08-28 08:31:00
5928,5928,4.9723182,Watched,['Music'],20.0,2870.0,142.0,225952.0,2019,8,28,8,35,2,https://www.youtube.com/watch?v=3Ey5S3DaEbs,,youtube,,2019-08-28 08:35:00
5927,5927,4.9578948,Watched,['Music'],1.0,94.0,178.0,5194.0,2019,8,28,8,37,2,https://www.youtube.com/watch?v=Fsn-I9smFps,,youtube,,2019-08-28 08:37:00
5926,5926,4.906756400000001,Watched,['Music'],305.0,12779.0,128.0,2867358.0,2019,8,28,8,41,2,https://www.youtube.com/watch?v=TZlSUPChxa4,,youtube,,2019-08-28 08:41:00
5925,5925,4.9260869000000005,Watched,['Music'],17.0,903.0,294.0,54626.0,2019,8,28,8,43,2,https://www.youtube.com/watch?v=ZSc51aYxpX4,,youtube,,2019-08-28 08:43:00
6205,271,,Searched,[],,,,,2019,8,28,11,10,2,,,search,tran,2019-08-28 11:10:00
6204,270,,Visited,[],,,,,2019,8,28,11,10,2,,,search,Google <b>Tran</b>slate,2019-08-28 11:10:00
6202,268,,Visited,[],,,,,2019,8,28,15,22,2,,,search,Refrigerator Leasing,2019-08-28 15:22:00
6203,269,,Searched,[],,,,,2019,8,28,15,22,2,,,search,university of rochester microfridge rental,2019-08-28 15:22:00
6200,266,,Visited,[],,,,,2019,8,28,15,29,2,,,search,Google <b>Tran</b>slate,2019-08-28 15:29:00
