,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,ratings,action,dislikes,likes,durations,view_cnts,years,months,days,hours,minutes,weekdays,link,titles,source,query,datetime,all_categories
0,0,0,0,5435,2266,,Searched,,,,,2020,1,1,12,6,2,,,search,nlsy version 1,2020-01-01 12:06:00,
1,1,1,1,5434,2265,,Visited,,,,,2020,1,1,12,7,2,,,search,https://en.m.wikipedia.org/wiki/National_Longitudinal_Surveys,2020-01-01 12:07:00,
2,2,2,2,3168,3168,,Watched,,,,,2020,1,1,18,15,2,https://www.youtube.com/watch?v=OcV7yzYeeT8,,youtube,,2020-01-01 18:15:00,
3,3,3,3,3167,3167,,Watched,,,,,2020,1,1,18,46,2,https://www.youtube.com/watch?v=Lv2p7eDlZTs,,youtube,,2020-01-01 18:46:00,
4,4,4,4,3166,3166,,Watched,,,,,2020,1,1,18,53,2,https://www.youtube.com/watch?v=xe5Wx9W4u4Q,,youtube,,2020-01-01 18:53:00,
5,5,5,5,3165,3165,,Watched,,,,,2020,1,1,23,2,2,https://www.youtube.com/watch?v=w3XS900kg1U,,youtube,,2020-01-01 23:02:00,
6,6,6,6,3164,3164,,Watched,,,,,2020,1,1,23,21,2,https://www.youtube.com/watch?v=nUJxu9sgazw,,youtube,,2020-01-01 23:21:00,
7,7,7,7,3163,3163,,Watched,,,,,2020,1,1,23,36,2,https://www.youtube.com/watch?v=vL0woLAeIC8,,youtube,,2020-01-01 23:36:00,
8,8,8,8,3162,3162,,Watched,,,,,2020,1,1,23,55,2,https://www.youtube.com/watch?v=2e6dDTjd0R8,,youtube,,2020-01-01 23:55:00,
9,9,9,9,3161,3161,,Watched,,,,,2020,1,2,0,11,3,https://www.youtube.com/watch?v=BBSdHAL38ZU,,youtube,,2020-01-02 00:11:00,
10,10,10,10,3160,3160,,Watched,,,,,2020,1,2,0,13,3,https://www.youtube.com/watch?v=gcwQyPo7i88,,youtube,,2020-01-02 00:13:00,
11,11,11,11,5433,2264,,Searched,,,,,2020,1,2,0,18,3,,,search,175000*40*52,2020-01-02 00:18:00,
12,12,12,12,3159,3159,,Watched,,,,,2020,1,2,1,1,3,https://www.youtube.com/watch?v=3cnkGPjF6xA,,youtube,,2020-01-02 01:01:00,
13,13,13,13,3158,3158,,Watched,,,,,2020,1,2,1,12,3,https://www.youtube.com/watch?v=f9YX36nHKYo,,youtube,,2020-01-02 01:12:00,
14,14,14,14,5432,2263,,Searched,,,,,2020,1,2,1,56,3,,,search,sirfetch'd,2020-01-02 01:56:00,
15,15,15,15,3157,3157,,Watched,,,,,2020,1,2,2,7,3,https://www.youtube.com/watch?v=sHDjLCmf0CE,,youtube,,2020-01-02 02:07:00,
16,16,16,16,3156,3156,,Watched,,,,,2020,1,2,2,29,3,https://www.youtube.com/watch?v=uLKnCDfDlog,,youtube,,2020-01-02 02:29:00,
17,17,17,17,3155,3155,,Watched,,,,,2020,1,2,2,43,3,https://www.youtube.com/watch?v=0BXo-mFNlVc,,youtube,,2020-01-02 02:43:00,
18,18,18,18,3154,3154,,Watched,,,,,2020,1,2,2,56,3,https://www.youtube.com/watch?v=RTDsqCmIVpY,,youtube,,2020-01-02 02:56:00,
19,19,19,19,3153,3153,,Watched,,,,,2020,1,2,14,47,3,https://www.youtube.com/watch?v=HRuGcJZb8b8,,youtube,,2020-01-02 14:47:00,
20,20,20,20,5430,2261,,Visited,,,,,2020,1,2,15,54,3,,,search,Sword and Shield Legendary Pokemon - IGN.com,2020-01-02 15:54:00,Hobbies & Interests
21,21,21,21,5431,2262,,Searched,,,,,2020,1,2,15,54,3,,,search,pokemon shield both legendaries,2020-01-02 15:54:00,Games
22,22,22,22,5426,2257,,Visited,,,,,2020,1,2,16,14,3,,,search,"Snorlax (Pokémon) - Bulbapedia, the community-driven Pokémon ...",2020-01-02 16:14:00,Games
23,23,23,23,5427,2258,,Visited,,,,,2020,1,2,16,14,3,,,search,https://pokemon.gameinfo.io/en/pokemon/143-snorlax/normal,2020-01-02 16:14:00,
24,24,24,24,5428,2259,,Searched,,,,,2020,1,2,16,14,3,,,search,snorlax normal,2020-01-02 16:14:00,
25,25,25,25,5429,2260,,Searched,,,,,2020,1,2,16,14,3,,,search,snorlax,2020-01-02 16:14:00,Arts & Entertainment
26,26,26,26,3152,3152,,Watched,,,,,2020,1,2,17,45,3,https://www.youtube.com/watch?v=ioKpf4dgsMA,,youtube,,2020-01-02 17:45:00,
27,27,27,27,3151,3151,,Watched,,,,,2020,1,2,18,12,3,https://www.youtube.com/watch?v=c6RQcQAbokU,,youtube,,2020-01-02 18:12:00,
28,28,28,28,3150,3150,,Watched,,,,,2020,1,2,18,15,3,https://www.youtube.com/watch?v=cUkKyEAVp6I,,youtube,,2020-01-02 18:15:00,
29,29,29,29,5425,2256,,Searched,,,,,2020,1,2,18,55,3,,,search,heic to jpg,2020-01-02 18:55:00,Arts & Entertainment
30,30,30,30,3149,3149,,Watched,,,,,2020,1,2,19,0,3,https://www.youtube.com/watch?v=4OFl3OIxFMo,,youtube,,2020-01-02 19:00:00,
31,31,31,31,3148,3148,4.9418473,Watched,394.0,26707.0,1549.0,1536880.0,2020,1,2,19,12,3,https://www.youtube.com/watch?v=D-xWdDoG4bY,Waluigi WILL Come From Behind,youtube,,2020-01-02 19:12:00,Gaming
32,32,32,32,3147,3147,4.9358277,Watched,262.0,16069.0,2856.0,1048410.0,2020,1,2,19,38,3,https://www.youtube.com/watch?v=BJoHnJYjjlw,,youtube,,2020-01-02 19:38:00,Gaming
33,33,33,33,3146,3146,,Watched,,,,,2020,1,2,21,15,3,https://www.youtube.com/watch?v=_9gcEnmqxSg,,youtube,,2020-01-02 21:15:00,
34,34,34,34,5424,2255,,Searched,,,,,2020,1,2,21,47,3,,,search,wolframalpha,2020-01-02 21:47:00,
35,35,35,35,3145,3145,,Watched,,,,,2020,1,2,21,49,3,https://www.youtube.com/watch?v=c3E5oNY5mSU,,youtube,,2020-01-02 21:49:00,
36,36,36,36,5423,2254,,Searched,,,,,2020,1,2,22,14,3,,,search,ll,2020-01-02 22:14:00,
37,37,37,37,3144,3144,,Watched,,,,,2020,1,2,22,22,3,https://www.youtube.com/watch?v=mcV2uNQ8vZM,,youtube,,2020-01-02 22:22:00,
38,38,38,38,3143,3143,,Watched,,,,,2020,1,2,22,23,3,https://www.youtube.com/watch?v=EvV7OZyGfhk,,youtube,,2020-01-02 22:23:00,
39,39,39,39,3142,3142,,Watched,,,,,2020,1,2,22,24,3,https://www.youtube.com/watch?v=tNiZbwDwUl8,,youtube,,2020-01-02 22:24:00,
40,40,40,40,3141,3141,,Watched,,,,,2020,1,2,22,26,3,https://www.youtube.com/watch?v=u5KVfVetlsA,,youtube,,2020-01-02 22:26:00,
41,41,41,41,3140,3140,,Watched,,,,,2020,1,2,22,38,3,https://www.youtube.com/watch?v=pxwn6jdGCm0,,youtube,,2020-01-02 22:38:00,
42,42,42,42,3139,3139,,Watched,,,,,2020,1,2,22,39,3,https://www.youtube.com/watch?v=6e2D1wE9z28,,youtube,,2020-01-02 22:39:00,
43,43,43,43,3138,3138,,Watched,,,,,2020,1,2,23,10,3,https://www.youtube.com/watch?v=JBIIDIksssQ,,youtube,,2020-01-02 23:10:00,
44,44,44,44,5422,2253,,Searched,,,,,2020,1,2,23,13,3,,,search,jojo oh no,2020-01-02 23:13:00,Arts & Entertainment
45,45,45,45,5421,2252,,Searched,,,,,2020,1,2,23,25,3,,,search,logistic regression,2020-01-02 23:25:00,Science
46,46,46,46,5420,2251,,Searched,,,,,2020,1,2,23,28,3,,,search,random forest algorithm,2020-01-02 23:28:00,Science
47,47,47,47,5419,2250,,Searched,,,,,2020,1,2,23,28,3,,,search,random forest randomness,2020-01-02 23:28:00,
48,48,48,48,5418,2249,,Searched,,,,,2020,1,2,23,29,3,,,search,test driven development,2020-01-02 23:29:00,Computers & Electronics
