,Unnamed: 0,ratings,action,categories,dislikes,likes,durations,view_cnts,years,months,days,hours,minutes,weekdays,link,titles,source,query,datetime
282,263,,Visited,[],,,,,2019,8,28,12,46,2,,,search,Google Search,2019-08-28 12:46:00
281,262,,Searched,[],,,,,2019,9,4,22,11,2,,,search,monte nido glen cove long island,2019-09-04 22:11:00
280,261,,Visited,[],,,,,2019,9,4,22,11,2,,,search,"Eating Disorder Center in Long Island, Glen Cove, NY - Binge ...",2019-09-04 22:11:00
279,260,,,[],,,,,2019,9,5,17,10,3,,,search,honor,2019-09-05 17:10:00
278,259,,Visited,[],,,,,2019,9,5,17,10,3,,,search,"Honor Synonyms, Honor Antonyms | Thesaurus.com",2019-09-05 17:10:00
277,258,,Visited,[],,,,,2019,9,5,17,16,3,,,search,Google Search,2019-09-05 17:16:00
276,257,,Searched,[],,,,,2019,9,5,18,45,3,,,search,sarah broas,2019-09-05 18:45:00
275,256,,Visited,[],,,,,2019,9,5,18,45,3,,,search,https://www.facebook.com/341882759210607/posts/1706025072796362/,2019-09-05 18:45:00
274,255,,Searched,[],,,,,2019,9,5,18,46,3,,,search,sarah broas,2019-09-05 18:46:00
273,254,,Visited,[],,,,,2019,9,5,18,47,3,,,search,"Rockland, Putnam 2019 valedictorians, salutatorians honored at ...",2019-09-05 18:47:00
272,253,,Searched,[],,,,,2019,9,5,18,48,3,,,search,sarah broas,2019-09-05 18:48:00
271,252,,Visited,[],,,,,2019,9,5,18,50,3,,,search,"Dr. Sandra Intrieri on Twitter: ""So impressed with our Sarah Broas ...",2019-09-05 18:50:00
270,251,,Searched,[],,,,,2019,9,5,18,51,3,,,search,broadcom masters 2019,2019-09-05 18:51:00
269,250,,Searched,[],,,,,2019,9,5,18,52,3,,,search,broadcom masters,2019-09-05 18:52:00
268,249,,Visited,[],,,,,2019,9,5,18,52,3,,,search,https://student.societyforscience.org/broadcom-masters,2019-09-05 18:52:00
267,248,,Searched,[],,,,,2019,9,5,21,52,3,,,search,aliy zirkle,2019-09-05 21:52:00
266,247,,Visited,[],,,,,2019,9,5,21,53,3,,,search,Aliy Zirkle - Musher Career Summary - Race Archives - Iditarod,2019-09-05 21:53:00
18,18,4.898315900000001,Watched,['Music'],1511.0,57928.0,14478.0,7978342.0,2019,9,6,9,55,4,https://www.youtube.com/watch?v=Y-JQ-RCyPpQ,,youtube,,2019-09-06 09:55:00
265,246,,Searched,[],,,,,2019,9,6,10,4,4,,,search,spanish to english,2019-09-06 10:04:00
264,245,,Searched,[],,,,,2019,9,6,11,45,4,,,search,university of rochester bus,2019-09-06 11:45:00
263,244,,Visited,[],,,,,2019,9,6,11,45,4,,,search,Shuttles | Department of Transportation and Parking Management,2019-09-06 11:45:00
261,242,,Visited,[],,,,,2019,9,6,11,53,4,,,search,Genesee Valley Park - City of Rochester,2019-09-06 11:53:00
262,243,,Searched,[],,,,,2019,9,6,11,53,4,,,search,genesee valley park,2019-09-06 11:53:00
260,241,,Searched,[],,,,,2019,9,6,11,54,4,,,search,tree of life genesee valley park,2019-09-06 11:54:00
259,240,,Visited,[],,,,,2019,9,6,11,54,4,,,search,"Genesee Valley Park | Day Trips Around Rochester, NY",2019-09-06 11:54:00
258,239,,Searched,[],,,,,2019,9,6,14,31,4,,,search,blanket jackson,2019-09-06 14:31:00
257,238,,Searched,[],,,,,2019,9,6,14,40,4,,,search,why don't we listen to our bodies,2019-09-06 14:40:00
256,237,,Visited,[],,,,,2019,9,6,14,40,4,,,search,https://www.naomiarnold.com/listen-to-your-body/,2019-09-06 14:40:00
255,236,,Visited,[],,,,,2019,9,6,14,41,4,,,search,http://nancypickardlifecoach.com/why-dont-we-listen-to-our-bodies/,2019-09-06 14:41:00
254,235,,Searched,[],,,,,2019,9,6,14,42,4,,,search,society encourages people to ignore body signals,2019-09-06 14:42:00
253,234,,Visited,[],,,,,2019,9,6,14,43,4,,,search,"Interview: ""People have been ignoring the body for a long time"" | The ...",2019-09-06 14:43:00
252,233,,Searched,[],,,,,2019,9,6,16,1,4,,,search,money mamma mia,2019-09-06 16:01:00
17,17,4.8286028,Watched,['Music'],548.0,12241.0,192.0,2985925.0,2019,9,6,16,1,4,https://www.youtube.com/watch?v=IByDClFTOME,,youtube,,2019-09-06 16:01:00
251,232,,Visited,[],,,,,2019,9,6,16,1,4,,,search,MONEY MONEY MONEY (ABBA) - Mamma Mia + Lyrics - YouTube,2019-09-06 16:01:00
16,16,,Searched,,,,,,2019,9,6,16,2,4,https://www.youtube.com/results?search_query=mama+mia,,youtube,,2019-09-06 16:02:00
14,14,4.8981886,Watched,['Film & Animation'],3913.0,149822.0,173.0,27283020.0,2019,9,6,16,3,4,https://www.youtube.com/watch?v=NTq18k9fWio,,youtube,,2019-09-06 16:03:00
15,15,,Searched,,,,,,2019,9,6,16,3,4,https://www.youtube.com/results?search_query=mama+mia+here+we+go+again,,youtube,,2019-09-06 16:03:00
13,13,4.7588849,Watched,['People & Blogs'],307.0,4786.0,8121.0,1501541.0,2019,9,6,16,39,4,https://www.youtube.com/watch?v=KAsUEZU3meI,,youtube,,2019-09-06 16:39:00
12,12,4.8998175,Watched,['Music'],233.0,9070.0,5556.0,1033673.0,2019,9,6,16,40,4,https://www.youtube.com/watch?v=baXmLeOhTsE,Indie/Pop/Folk Compilation - September 2019 (1½-Hour Playlist),youtube,,2019-09-06 16:40:00
249,230,,Visited,[],,,,,2019,9,6,17,3,4,,,search,Your Body Is Talking. Are You Listening? | HuffPost Life,2019-09-06 17:03:00
250,231,,Searched,[],,,,,2019,9,6,17,3,4,,,search,ignoring internal body signals in culture,2019-09-06 17:03:00
248,229,,Searched,[],,,,,2019,9,6,17,5,4,,,search,ignoring body signals,2019-09-06 17:05:00
247,228,,Visited,[],,,,,2019,9,6,17,6,4,,,search,Google Search,2019-09-06 17:06:00
10,10,4.8947367999999996,Watched,['Nonprofits & Activism'],3.0,111.0,4155.0,8638.0,2019,9,6,21,33,4,https://www.youtube.com/watch?v=gCN9K2YFz3g,,youtube,,2019-09-06 21:33:00
11,11,,Searched,,,,,,2019,9,6,21,33,4,https://www.youtube.com/results?search_query=brain+biochemistry,,youtube,,2019-09-06 21:33:00
9,9,4.819902900000001,Watched,['Education'],409.0,8675.0,6026.0,976543.0,2019,9,6,22,44,4,https://www.youtube.com/watch?v=nEnklxGAmak,,youtube,,2019-09-06 22:44:00
8,8,4.8969192999999995,Watched,['Education'],87.0,3289.0,3233.0,266892.0,2019,9,7,0,24,5,https://www.youtube.com/watch?v=-PpDq1WUtAw,,youtube,,2019-09-07 00:24:00
7,7,4.866521400000001,Watched,['Education'],92.0,2665.0,6066.0,291196.0,2019,9,7,1,18,5,https://www.youtube.com/watch?v=ISVaoLlW104,,youtube,,2019-09-07 01:18:00
245,226,,Visited,[],,,,,2019,9,7,14,56,5,,,search,"I don't keep a daily schedule, here is why. - Desk of van Schneider ...",2019-09-07 14:56:00
246,227,,Searched,[],,,,,2019,9,7,14,56,5,,,search,why we shouldn't have schedules,2019-09-07 14:56:00
244,225,,Searched,[],,,,,2019,9,7,15,44,5,,,search,poke bowl,2019-09-07 15:44:00
243,224,,Searched,[],,,,,2019,9,7,20,9,5,,,search,molecule vs compound,2019-09-07 20:09:00
242,223,,Visited,[],,,,,2019,9,7,20,11,5,,,search,The Difference between a Molecule and a Compound? - ThoughtCo,2019-09-07 20:11:00
241,222,,Visited,[],,,,,2019,9,7,20,12,5,,,search,Atoms: Compounds - Chem4Kids.com,2019-09-07 20:12:00
240,221,,Visited,[],,,,,2019,9,8,13,37,6,,,search,Google Search,2019-09-08 13:37:00
237,218,,Visited,[],,,,,2019,9,8,14,12,6,,,search,"Capítulo: Mi gato, un rompecabezas sin solución | Caso Cerrado ...",2019-09-08 14:12:00
239,220,,Searched,[],,,,,2019,9,8,14,12,6,,,search,caso cerrado,2019-09-08 14:12:00
238,219,,Searched,[],,,,,2019,9,8,14,12,6,,,search,caso cerrado gato,2019-09-08 14:12:00
6,6,4.7754641,Watched,['Entertainment'],3715.0,62466.0,1427.0,4204828.0,2019,9,8,14,12,6,https://www.youtube.com/watch?v=uMHxf7UBVSE,,youtube,,2019-09-08 14:12:00
236,217,,Searched,[],,,,,2019,9,8,14,16,6,,,search,preterite ver,2019-09-08 14:16:00
235,216,,Searched,[],,,,,2019,9,8,14,17,6,,,search,spanish to english,2019-09-08 14:17:00
234,215,,Searched,[],,,,,2019,9,8,14,20,6,,,search,querer preterite,2019-09-08 14:20:00
233,214,,Searched,[],,,,,2019,9,8,14,57,6,,,search,Sarah Broas Putnam Valley High School words poem,2019-09-08 14:57:00
231,212,,Visited,[],,,,,2019,9,8,15,1,6,,,search,"Sarah Kay performs ""Table Games"" - YouTube",2019-09-08 15:01:00
232,213,,Searched,[],,,,,2019,9,8,15,1,6,,,search,sarah kay spoken word puns,2019-09-08 15:01:00
5,5,4.9868722000000005,Watched,['Entertainment'],66.0,20044.0,266.0,478863.0,2019,9,8,15,1,6,https://www.youtube.com/watch?v=tlcTGDRX450,,youtube,,2019-09-08 15:01:00
230,211,,Searched,[],,,,,2019,9,8,16,56,6,,,search,"255 Crittenden Boulevard, Rochester, NY 14642",2019-09-08 16:56:00
228,209,,Visited,[],,,,,2019,9,8,17,30,6,,,search,URMC Launches World's First ECHO® Eating Disorders Clinic ...,2019-09-08 17:30:00
229,210,,Searched,[],,,,,2019,9,8,17,30,6,,,search,WNYCCCED,2019-09-08 17:30:00
226,207,,Visited,[],,,,,2019,9,8,17,52,6,,,search,Failing Kidneys and Thyroid Dysfunction—An Undesirable Synergy ...,2019-09-08 17:52:00
227,208,,Searched,[],,,,,2019,9,8,17,52,6,,,search,kidney and thyroid function,2019-09-08 17:52:00
225,206,,Searched,[],,,,,2019,9,8,17,53,6,,,search,kidney and thyroid function anorexia nervosa,2019-09-08 17:53:00
224,205,,Visited,[],,,,,2019,9,8,17,53,6,,,search,Anorexia Nervosa and the Kidney - American Journal of Kidney ...,2019-09-08 17:53:00
223,204,,Searched,[],,,,,2019,9,8,19,23,6,,,search,perfectionism in society,2019-09-08 19:23:00
222,203,,Visited,[],,,,,2019,9,8,19,23,6,,,search,How perfectionism became a hidden epidemic among young people,2019-09-08 19:23:00
221,202,,Visited,[],,,,,2019,9,8,19,24,6,,,search,"Perfectionism Is Increasing, and That's Not Good News",2019-09-08 19:24:00
220,201,,Searched,[],,,,,2019,9,8,19,30,6,,,search,perfectionism rates in society,2019-09-08 19:30:00
219,200,,Searched,[],,,,,2019,9,8,19,36,6,,,search,hit the mole fair game,2019-09-08 19:36:00
218,199,,Searched,[],,,,,2019,9,8,21,41,6,,,search,what percentage better did something perform,2019-09-08 21:41:00
217,198,,Searched,[],,,,,2019,9,8,21,41,6,,,search,percentage difference calculator,2019-09-08 21:41:00
216,197,,Visited,[],,,,,2019,9,8,21,41,6,,,search,Percentage Change - Percentage Increase and Decrease ...,2019-09-08 21:41:00
215,196,,Searched,[],,,,,2019,9,8,21,43,6,,,search,este,2019-09-08 21:43:00
